text,label,label_text
Complex biochemical syndrome of hypocalcemia and hypoparathyroidism during cytotoxic treatment of an infant with leukemia.,0,Not-Related
We describe two patients who developed hypophosphatemia as a consequence of this form of therapy.,0,Not-Related
"Vitamin D toxicity complicating the treatment of senile, postmenopausal, and glucocorticoid-induced osteoporosis.",0,Not-Related
"The case of a young woman suffering from multiple autoimmune-dysreactive disorders (including thyreoiditis, myasthenia gravis, thymectomy, Crohn's disease, and erythema nodosum), while undergoing steroideal therapy, was complicated by a severe infectious disorder (severe upper urinary tract infection).",0,Not-Related
Extraskeletal tumoral calcifications (TC) may occur in patients with end-stage renal disease.,0,Not-Related
Radiotherapy enhances the toxicity of aminoglutethimide.,0,Not-Related
CONCLUSIONS: There is very little published information regarding ofloxacin-induced toxic epidermal necrolysis.,1,Related
"Black cohosh is one of the most popular herbal therapies for premenstrual discomfort, hot flushes and other climacteric and menopausal symptoms.",0,Not-Related
"Physicians should suspect pulmonary toxicity in patients with respiratory distress after gemcitabine chemotherapy, mainly in elderly patients.",0,Not-Related
Risperidone-induced psychosis and depression in a child with a mitochondrial disorder.,1,Related
Reduction of methylprednisolone dosage rather than insulin therapy resulted in better control of glycemia.,1,Related
Antimonial derivatives induced a rapid remission.,0,Not-Related
Hyperosmolar hyperglycemic nonketotic coma.,0,Not-Related
The clinical course as well as the biochemical pattern and the investigation of liver biopsy specimens enabled us to establish the diagnoses of drug-induced canalicular and hepatocanalicular cholestasis.,0,Not-Related
"Importantly, this was the first time that information became available about the effects of tamoxifen in healthy women, that is, women who did not already have breast cancer.",0,Not-Related
A 69-year-old man with ulcerative colitis (UC) developed sensorimotor polyneuropathy.,0,Not-Related
Subacromial impingement syndrome as a consequence of botulinum therapy to the upper trapezii: a case report.,0,Not-Related
This case describes the complications and successful treatment of high-dose intrathecal morphine overdose.,0,Not-Related
Management of Graves' ophthalmopathy includes high-dose glucocorticoids.,0,Not-Related
"After identification of the index patient, additional inquiry revealed that the patient's mother was hospitalized previously for overwhelming sepsis associated with metamizole use.",1,Related
Pharmacokinetically induced benzodiazepine withdrawal.,0,Not-Related
"The clinical manifestations of an anaphylactoid reaction are identical to true anaphylaxis; however, a previous exposure to the offending agent is not needed to manifest these symptoms.",0,Not-Related
It is suggested that high dosage corticosteroids may damage the posterior blood-ocular barrier.,0,Not-Related
Mexiletine hydrochloride was useful in preventing recurrences of torsades de pointes.,0,Not-Related
