variable_name,category,description,available_in_FAERS,data_source_field,processing_method
has_infection_ae,Adverse Event,Infection-related adverse event,Yes,patient.reaction.reactionmeddrapt,"Keyword matching (INFECTION, SEPSIS, PNEUMONIA, etc.)"
multiple_reactions,Adverse Event,Multiple adverse reactions (>1),Yes,Derived from num_reactions,Binary threshold
num_reactions,Adverse Event,Number of adverse reactions reported,Yes,Count of patient.reaction array,Direct count
cancer_stage_I,Cancer Stage,DLBCL Stage I,Partial,patient.drug.drugindication (free-text),Pattern matching from free-text (imperfect extraction)
cancer_stage_II,Cancer Stage,DLBCL Stage II,Partial,patient.drug.drugindication (free-text),Pattern matching from free-text (imperfect extraction)
cancer_stage_III,Cancer Stage,DLBCL Stage III,Partial,patient.drug.drugindication (free-text),Pattern matching from free-text (imperfect extraction)
cancer_stage_IV,Cancer Stage,DLBCL Stage IV,Partial,patient.drug.drugindication (free-text),Pattern matching from free-text (imperfect extraction)
comorbidity_cardiac,Comorbidity,History of cardiac disease,Yes,patient.drug.drugindication,Keyword matching from free-text
comorbidity_diabetes,Comorbidity,History of diabetes,Yes,patient.drug.drugindication,Keyword matching from free-text
comorbidity_hypertension,Comorbidity,History of hypertension,Yes,patient.drug.drugindication,Keyword matching from free-text
age_missing,Data Quality,Age missing indicator,Yes,Derived,Binary flag for missing age
weight_missing,Data Quality,Weight missing indicator,Yes,Derived,Binary flag for missing weight
age_gt_65,Demographic,Age > 65 years (binary indicator),Yes,Derived from age_years,Binary threshold
age_gt_70,Demographic,Age > 70 years (binary indicator),Yes,Derived from age_years,Binary threshold
age_years,Demographic,Age at time of report (normalized to years),Yes,patient.patientonsetage + patientonsetageunit,Standardized to years from various units
bmi,Demographic,Body Mass Index (calculated from weight),Yes,Calculated from patientweight,"Weight/(height²), default height=1.65m"
bmi_obese,Demographic,Obese (BMI >30),Yes,Derived from bmi,Binary threshold
bmi_overweight,Demographic,Overweight (BMI 25-30),Yes,Derived from bmi,Binary threshold
bmi_underweight,Demographic,Underweight (BMI <18.5),Yes,Derived from bmi,Binary threshold
patientweight,Demographic,Patient weight in kg,Yes,patient.patientweight,Continuous variable (median imputation if missing)
sex_female,Demographic,Female gender (binary indicator),Yes,Derived from patientsex,Binary encoding
sex_male,Demographic,Male gender (binary indicator),Yes,Derived from patientsex,Binary encoding
has_antibiotic,Medication,Receiving antibiotic medications,Yes,patient.drug.openfda.generic_name,"Keyword matching (CIPROFLOXACIN, VANCOMYCIN, etc.)"
has_antifungal,Medication,Receiving antifungal medications,Yes,patient.drug.openfda.generic_name,"Keyword matching (FLUCONAZOLE, VORICONAZOLE, etc.)"
has_antiviral,Medication,Receiving antiviral medications,Yes,patient.drug.openfda.generic_name,"Keyword matching (ACYCLOVIR, GANCICLOVIR, etc.)"
has_chemo,Medication,Receiving chemotherapy,Yes,patient.drug.openfda.generic_name,"Keyword matching (CYCLOPHOSPHAMIDE, DOXORUBICIN, etc.)"
has_steroid,Medication,Receiving steroid medications,Yes,patient.drug.openfda.generic_name,"Keyword matching (PREDNISONE, DEXAMETHASONE, etc.)"
has_targeted,Medication,Receiving targeted therapy,Yes,patient.drug.openfda.generic_name,"Keyword matching (RITUXIMAB, LENALIDOMIDE, etc.)"
high_polypharmacy,Medication,High polypharmacy (>5 drugs),Yes,Derived from num_drugs,Binary threshold
num_drugs,Medication,Number of concurrent medications,Yes,Count of patient.drug array,Direct count
polypharmacy,Medication,Multiple medications (>1 drug),Yes,Derived from num_drugs,Binary threshold
steroid_plus_antibiotic,Medication,Combination of steroid + antibiotic,Yes,Derived from has_steroid and has_antibiotic,Interaction term (has_steroid AND has_antibiotic)
age_50_65,Other,Feature extracted from FAERS data,Yes,FAERS,Feature engineering
sex_unknown,Other,Feature extracted from FAERS data,Yes,FAERS,Feature engineering
