feature,importance
num_drugs,0.11631961294871192
age_years,0.09318400272362394
patientweight,0.08387091645132984
has_antiviral,0.08285782515848279
has_chemo,0.06840966794868676
num_reactions,0.0666281354678512
bmi,0.06432820091458848
has_targeted,0.06402797633638238
patientonsetage,0.04878744176022181
patientsex,0.04526609907596422
age_missing,0.04265788474460634
sex_unknown,0.03686827084234911
sex_male,0.035786133600117113
weight_missing,0.029849148280814426
sex_female,0.02735941144540987
multiple_reactions,0.02114713316766277
has_antifungal,0.01333448383474684
cancer_stage_III,0.012450282221236527
polypharmacy,0.012233355545086217
has_antibiotic,0.0057327024778912996
has_steroid,0.005345215107093931
cancer_stage_II,0.004589683171732208
many_reactions,0.0041317498712867985
very_high_polypharmacy,0.0032275241682941445
bmi_overweight,0.0021781520802446816
bmi_normal,0.0017647190735271296
moderate_polypharmacy,0.001364910413552096
high_polypharmacy,0.0011770052142002522
steroid_plus_antibiotic,0.0010420765165176633
age_gt_75,0.0009725564154638872
cancer_stage_IV,0.0007111134360210029
bmi_underweight,0.0006589515559086983
age_gt_70,0.0006414640594816014
age_gt_65,0.0005802715127572396
bmi_obese,0.0004222698972835202
cancer_stage_I,9.365256087115989e-05
